ID,Text,Category
969,@JuliaBradbury @SimonCalder @walsop @HodderPRIBA @_TheWhitechapel A pleasure to meet you all last week!,0
241,or here https://t.co/R2tO79Easn … .An in house solutio proposed to meet flexibility needs. Come on @NationalGallery - it's time to TALK.,1
820,@britshmuseum @thehistoryguy Gosh periscope is definitely on trend. High profile people using it and I have not even tried it yet.,2
693,@Ophiolatrist britishmuseum The stupid #French prick was crushed by my Russian Imperial ancestors. 😂 #Waterloo200,1
421,@SassyClde We won't stop til @britishmuseum dumps #BP. Fill in a feedback form when you're there &amp; watch this space: http://t.co/o2JlUnGi1y,1
1086,@tateliverpool Member's Preview of #JacksonPollock #BlindSpots yesterday at #TateLiverpool FANTASTIC exhibition - congratulations!,0
1999,@britishuseum How did the British double line formation and squad fire work? surely not the entire battalion in one long line 2 deep?,2
366,James Richards extraordinary instln @_TheWhitechapel is a brilliantly obliquely piece of critical interpretation. Sonic art theory. Lush,0
1023,300 miles to see art? In this case it might be worth it. @tateliverpool http://t.co/4Eqch03Mb5 http://t.co/18Nokgmvv5,0
1241,"@NationalGallery favourite summer art is Seurat, Bathers at Asnieres",0
589,Enjoyed the excellent artist talk by Glen Ligon. @tateliverpool,0
737,Found this yesterday @BritishMuseum - desperately needs more info on the exhibit though :( Pillar of Emperor Ashoka http://t.co/0XtD8lynX,3
1762,"@NationalGallery @pcs_union strikers raise £1,000 on @pplsassembly  protest htt://t.co/SzmJN1zMF7 #reinstateCandy http://t.co/7vCMoHbV8W",1
942,"@britishmuseum @Moobootica Wow, he was a very old 32.",2
72,Good to see you yesterday &amp; all the work in progress @flocktognews @wordpressdotcom The @ThelmaHulbert is coming together,0
1408,This w/e saw te closing of @kettlesyard for building work; here's a film I made there in memory of Michael Harrison: http://t.co/d27X7k28Gy,3
260,British Museum evacuation?! @britishmuseum #briishmuseum,2
52,Excited about Castle Hill Open Day tomorrow @kettlesyard Loads of great stuff for families and all free too! http://t.co/0pL86Vvhl3,0
199,GO visit @Sothebys or @ChristiesInc &amp; take photos of  #art instead of @_TheWhitechapel where you can't take photos &amp; aste your time @phnat,1
1789,"at the @NationalGallery . the#InventingImpressionism is a strictly No Photo area, so shot the museum shop instead http://t.co/k5JpZfY7b5",3
651,Unfortunately the transition narrative parts of those stories were handwaved away in the commentay. @foxvertebrae @britishmuseum,3
333,"at the @NationalGallery . the #InventingImpressionism is a strictly No Photo area, so shot the museum shop instead http//t.co/k5JpZfY7b5",3
1360,Terry Frost soft sculptures looking fantastic @LeedsArtGallery @Tate_StIves http://t.co/OAhc1n2epi,0
594,@britishmuseum and is that a neck collar? The neck is so slendr.,2
1392,"@BBC_Culture @PlymouthMuseum O dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!",3
1801,Found this yesterday @BritishMuseum - esperately needs more info on the exhibit though :( Pillar of Emperor Ashoka http://t.co/0XtD8ly3nX,3
1315,@tateliverpool “ #BobandRoberta: I am angry more artists that have a profile are not speaking up #foundationcourses. http://t.co/0Jqrq7vfK”,1
1112,@FitzMuseum_UK well I never kew that...,2
1007,@NationalGallery@greekisinart ART=FREEDOM Visited the gallery but unable to see the impressionist paintings belonging to collection.When up,3
1327,"@tiffanyjenkins Had this in a show I curated @_TheWhitechapel… Wasn't it panted from a newspaper image, two days after she landed?",2
427,@britishmueum So much teeth problems un ancient Egypt!!! 😁,2
1559,@NationalGallery @greekisinart ART=FREEDOM Visited he gallery but unable to see the impressionist paintings belonging to collection.When up,3
1294,@britishmseum @AYDSMA two of those ... I would have never thought that they're his,2
591,Goodbye@kettlesyard see you in 2.25 years! http://t.co/WFjBAiWbfM,3
1958,@britishmuseum @69quietgirl @Charles_XII - an will again... #austerity,3
